"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-01","50","60","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-02","49","52","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-03","49","56","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-04","50","53","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-05","47","54","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-06","49","57","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-07","48","54","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-08","51","57","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-09","49","57","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-10","52","62","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-11","49","60","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-12","52","60","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-13","56","64","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-14","57","65","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-15","60","68","55"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-16","62","74","58"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-17","63","73","57"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-18","64","72","57"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-19","55","59","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-20","55","65","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-21","51","61","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-22","45","48","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-23","45","52","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-24","44","45","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-25","43","47","40"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-26","42","47","38"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-27","47","50","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-28","47","50","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-29","44","53","39"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-30","48","56","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-01-31","53","61","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-01","50","54","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-02","50","57","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-03","46","53","40"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-04","48","56","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-05","54","69","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-06","57","67","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-07","55","65","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-08","49","61","39"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-09","49","56","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-10","48","58","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-11","48","58","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-12","48","52","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-13","49","52","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-14","48","52","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-15","49","53","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-16","46","49","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-17","48","58","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-18","53","62","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-19","50","57","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-20","47","54","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-21","51","59","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-22","56","66","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-23","61","73","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-24","57","66","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-25","52","62","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-26","46","53","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-27","47","54","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-02-28","53","62","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-01","54","62","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-02","52","61","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-03","50","63","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-04","49","58","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-05","51","60","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-06","45","51","39"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-07","46","53","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-08","46","53","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-09","45","52","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-10","43","51","38"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-11","43","51","37"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-12","50","61","40"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-13","44","49","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-14","45","52","40"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-15","43","48","39"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-16","44","51","38"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-17","44","51","38"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-18","48","52","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-19","49","55","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-20","47","53","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-21","47","56","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-22","47","53","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-23","53","61","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-24","52","63","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-25","46","52","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-26","54","64","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-27","62","71","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-28","58","74","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-29","50","57","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-30","61","71","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-03-31","66","80","57"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-01","67","79","57"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-02","50","59","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-03","48","56","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-04","48","54","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-05","46","50","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-06","47","58","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-07","46","51","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-08","47","54","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-09","45","51","43"
